Park,State,Latitude,Longitude,Park Code,Activities,Number of Activities,Entrance Fees
Acadia National Park,ME,44.409286,-68.247501,acad,"Arts and Culture,Cultural Demonstrations,Astronomy,Stargazing,Biking,Boating,Camping,Group Camping,Climbing,Rock Climbing,Compass and GPS,Geocaching,Fishing,Freshwater Fishing,Fly Fishing,Saltwater Fishing,Food,Picnicking,Guided Tours,Bus/Shuttle Guided Tour,Boat Tour,Hands-On,Citizen Science,Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Ice Skating,Paddling,Canoeing,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,Skiing,Cross-Country Skiing,Snow Play,Snowmobiling,Snowshoeing,Swimming,Freshwater Swimming,Saltwater Swimming,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store",46,6.0
Arches National Park,UT,38.72261844,-109.5863666,arch,"Arts and Culture,Astronomy,Stargazing,Biking,Camping,Backcountry Camping,Car or Front Country Camping,Group Camping,Canyoneering,Climbing,Rock Climbing,Guided Tours,Hiking,Horse Trekking,Horseback Riding,Junior Ranger Program,Shopping,Bookstore and Park Store",18,30.0
Badlands National Park,SD,43.68584846,-102.482942,badl,"Auto and ATV,Scenic Driving,Astronomy,Biking,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Compass and GPS,Food,Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",21,30.0
Big Bend National Park,TX,29.29817767,-103.2297897,bibe,"Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Camping,Backcountry Camping,Food,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hiking,Backcountry Hiking,Front-Country Hiking,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store",24,30.0
Biscayne National Park,FL,25.490587,-80.21023851,bisc,"Boating,Motorized Boating,Sailing,Boat Tour,Camping,Fishing,Guided Tours,Boat Tour,Paddling,Canoeing,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,SCUBA Diving,Snorkeling,Swimming,Saltwater Swimming,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",24,0.0
Black Canyon Of The Gunnison National Park,CO,38.57779869,-107.7242756,blca,"Astronomy,Stargazing,Camping,Backcountry Camping,Car or Front Country Camping,RV Camping,Climbing,Rock Climbing,Fishing,Fly Fishing,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Paddling,Kayaking,Junior Ranger Program,Skiing,Cross-Country Skiing,Snowshoeing,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store",26,30.0
Bryce Canyon National Park,UT,37.58399144,-112.1826689,brca,"Astronomy,Stargazing,Biking,Road Biking,Camping,Backcountry Camping,Car or Front Country Camping,Group Camping,RV Camping,Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Auto,Hands-On,Citizen Science,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Junior Ranger Program,Skiing,Cross-Country Skiing,Snowshoeing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",30,35.0
Canyonlands National Park,UT,38.24555783,-109.8801624,cany,"Astronomy,Stargazing,Biking,Boating,Camping,Backcountry Camping,Car or Front Country Camping,Group Camping,Climbing,Rock Climbing,Guided Tours,Boat Tour,Hiking,Horse Trekking,Horseback Riding,Paddling,Canoe or Kayak Camping,Whitewater Rafting,Junior Ranger Program,Park Film,Shopping,Bookstore and Park Store",22,30.0
Capitol Reef National Park,UT,38.2821653131,-111.247048378,care,"Arts and Culture,Cultural Demonstrations,Astronomy,Stargazing,Biking,Road Biking,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Canyoneering,Climbing,Rock Climbing,Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hands-On,Citizen Science,Arts and Crafts,Volunteer Vacation,Hiking,Backcountry Hiking,Front-Country Hiking,Off-Trail Permitted Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Living History,First Person Interpretation,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",42,20.0
Carlsbad Caverns National Park,NM,32.14089463,-104.5529688,cave,"Astronomy,Stargazing,Camping,Caving,Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",17,1.0
Channel Islands National Park,CA,33.98680093,-119.9112735,chis,"Astronomy,Stargazing,Boating,Motorized Boating,Sailing,Boat Tour,Camping,Backcountry Camping,Canoe or Kayak Camping,Group Camping,Compass and GPS,Orienteering,Fishing,Saltwater Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Boat Tour,Hiking,Backcountry Hiking,Front-Country Hiking,Off-Trail Permitted Hiking,Paddling,Canoe or Kayak Camping,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,SCUBA Diving,Snorkeling,Surfing,Swimming,Saltwater Swimming,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",39,0.0
Congaree National Park,SC,33.79187523,-80.74867805,cong,"Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Group Camping,Fishing,Freshwater Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hands-On,Citizen Science,Volunteer Vacation,Hiking,Backcountry Hiking,Front-Country Hiking,Off-Trail Permitted Hiking,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Junior Ranger Program,Museum Exhibits,Shopping,Bookstore and Park Store",26,0.0
Crater Lake National Park,OR,42.94065854,-122.1338414,crla,"Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Boating,Boat Tour,Camping,Backcountry Camping,Car or Front Country Camping,RV Camping,Compass and GPS,Orienteering,Fishing,Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Bus/Shuttle Guided Tour,Boat Tour,Hands-On,Citizen Science,Hiking,Backcountry Hiking,Front-Country Hiking,Off-Trail Permitted Hiking,Junior Ranger Program,Skiing,Cross-Country Skiing,Snow Play,Snowmobiling,Snowshoeing,Swimming,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",43,30.0
Cuyahoga Valley National Park,OH,41.26093905,-81.57116722,cuva,"Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Live Music,Biking,Mountain Biking,Fishing,Food,Picnicking,Hands-On,Citizen Science,Hiking,Horse Trekking,Horseback Riding,Living History,Paddling,Canoeing,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,Skiing,Cross-Country Skiing,Snow Play,Snowshoeing,Wildlife Watching,Birdwatching,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",29,0.0
Death Valley National Park,"CA,NV",36.48753731,-117.134395,deva,"Astronomy,Stargazing,Biking,Mountain Biking,Road Biking,Camping,Backcountry Camping,Car or Front Country Camping,Canyoneering,Food,Flying,Golf,Guided Tours,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Living History,First Person Interpretation,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",27,30.0
Denali National Park & Preserve,AK,63.29777484,-151.0526568,dena,"Arts and Culture,Astronomy,Stargazing,Biking,Camping,Backcountry Camping,Car or Front Country Camping,Group Camping,RV Camping,Climbing,Mountain Climbing,Dog Sledding,Fishing,Food,Flying,Guided Tours,Bus/Shuttle Guided Tour,Hiking,Backcountry Hiking,Front-Country Hiking,Off-Trail Permitted Hiking,Hunting and Gathering,Gathering and Foraging,Hunting,Junior Ranger Program,Skiing,Cross-Country Skiing,Snow Play,Snowmobiling,Snowshoeing,Wildlife Watching,Park Film,Shopping,Bookstore and Park Store",34,15.0
Dry Tortugas National Park,FL,24.628741,-82.87319,drto,"Astronomy,Stargazing,Boating,Boat Tour,Camping,Fishing,Guided Tours,Hands-On,Volunteer Vacation,Paddling,Junior Ranger Program,SCUBA Diving,Snorkeling,Swimming,Wildlife Watching,Birdwatching,Shopping,Bookstore and Park Store",18,15.0
Everglades National Park,FL,25.37294225,-80.88200301,ever,"Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Boating,Motorized Boating,Sailing,Boat Tour,Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Group Camping,RV Camping,Compass and GPS,Geocaching,Fishing,Freshwater Fishing,Saltwater Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Bus/Shuttle Guided Tour,Boat Tour,Hands-On,Citizen Science,Volunteer Vacation,Hiking,Backcountry Hiking,Front-Country Hiking,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",46,35.0
Gates Of The Arctic National Park & Preserve,AK,67.75961636,-153.2917758,gaar,"Camping,Backcountry Camping,Canoe or Kayak Camping,Climbing,Rock Climbing,Mountain Climbing,Hiking,Backcountry Hiking,Off-Trail Permitted Hiking,Hunting and Gathering,Hunting,Paddling,Canoeing,Kayaking,Whitewater Rafting,Junior Ranger Program",16,0.0
Gateway Arch National Park,MO,38.6258069,-90.1892508,jeff,"Astronomy,Stargazing,Biking,Road Biking,Food,Dining,Picnicking,Guided Tours,Boat Tour,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",15,19.0
Glacier Bay National Park & Preserve,AK,58.80086718,-136.8407579,glba,"Arts and Culture,Cultural Demonstrations,Auto and ATV,ATV Off-Roading,Boating,Motorized Boating,Boat Tour,Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Climbing,Mountain Climbing,Fishing,Food,Flying,Guided Tours,Boat Tour,Hiking,Front-Country Hiking,Hunting and Gathering,Hunting,Paddling,Kayaking,Whitewater Rafting,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store",31,0.0
Glacier National Park,MT,48.68414678,-113.8009306,glac,"Arts and Culture,Cultural Demonstrations,Live Music,Auto and ATV,Scenic Driving,Astronomy,Biking,Road Biking,Boating,Motorized Boating,Boat Tour,Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,Climbing,Mountain Climbing,Fishing,Food,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Bus/Shuttle Guided Tour,Boat Tour,Hands-On,Citizen Science,Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Paddling,Canoe or Kayak Camping,Stand Up Paddleboarding,Whitewater Rafting,Junior Ranger Program,Skiing,Cross-Country Skiing,Snow Play,Snowshoeing,Swimming,Park Film,Shopping,Bookstore and Park Store",45,35.0
Grand Canyon National Park,AZ,36.0001165336,-112.121516363,grca,"Arts and Culture,Cultural Demonstrations,Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Boating,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Fishing,Food,Flying,Guided Tours,Hands-On,Volunteer Vacation,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Paddling,Whitewater Rafting,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",32,35.0
Grand Teton National Park,WY,43.81853565,-110.7054666,grte,"Arts and Culture,Cultural Demonstrations,Auto and ATV,Scenic Driving,Biking,Road Biking,Boating,Motorized Boating,Sailing,Boat Tour,Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Climbing,Rock Climbing,Mountain Climbing,Ice Climbing,Fishing,Freshwater Fishing,Fly Fishing,Food,Dining,Guided Tours,Self-Guided Tours - Auto,Boat Tour,Hiking,Backcountry Hiking,Front-Country Hiking,Off-Trail Permitted Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Hunting and Gathering,Hunting,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,Skiing,Cross-Country Skiing,Snow Play,Snowmobiling,Snowshoeing,Water Skiing,Wildlife Watching,Birdwatching,Shopping,Bookstore and Park Store",54,35.0
Great Basin National Park,NV,38.94617378,-114.2579782,grba,"Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Caving,Fishing,Food,Dining,Picnicking,Guided Tours,Hiking,Backcountry Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Hunting and Gathering,Gathering and Foraging,Junior Ranger Program,Skiing,Snowshoeing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",35,0.0
Great Sand Dunes National Park & Preserve,CO,37.79256812,-105.5919572,grsa,"Arts and Culture,Craft Demonstrations,Live Music,Auto and ATV,Auto Off-Roading,Astronomy,Stargazing,Biking,Mountain Biking,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Climbing,Mountain Climbing,Compass and GPS,Orienteering,Fishing,Freshwater Fishing,Fly Fishing,Food,Dining,Picnicking,Guided Tours,Hands-On,Arts and Crafts,Volunteer Vacation,Hiking,Backcountry Hiking,Front-Country Hiking,Off-Trail Permitted Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Hunting and Gathering,Hunting,Junior Ranger Program,Tubing,River Tubing,Skiing,Cross-Country Skiing,Downhill Skiing,Snow Play,Snowshoeing,Swimming,Freshwater Swimming,Water Skiing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",56,25.0
Great Smoky Mountains National Park,"NC,TN",35.60116374,-83.50818326,grsm,"Arts and Culture,Live Music,Auto and ATV,Scenic Driving,Astronomy,Stargazing,Biking,Road Biking,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Fishing,Freshwater Fishing,Fly Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Auto,Hands-On,Citizen Science,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",36,0.0
Guadalupe Mountains National Park,TX,31.92304462,-104.885527,gumo,"Auto and ATV,Auto Off-Roading,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Guided Tours,Self-Guided Tours - Walking,Hiking,Backcountry Hiking,Front-Country Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Junior Ranger Program,Wildlife Watching,Birdwatching,Museum Exhibits",20,10.0
Haleakalā National Park,HI,20.70693015,-156.1591775,hale,"Camping,Backcountry Camping,Guided Tours,Bus/Shuttle Guided Tour,Hiking,Junior Ranger Program,Swimming,Shopping",8,25.0
Hawaiʻi Volcanoes National Park,HI,19.3355036,-155.4700257,havo,"Arts and Culture,Biking,Camping,Backcountry Camping,Car or Front Country Camping,Guided Tours,Hiking,Backcountry Hiking,Front-Country Hiking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",17,30.0
